,City,Cloudiness(%),Country,Date,Humidity(%),Latitude,Longitude,Max Temperature(F),Wind Speed(mph)
80,Esperance,0,AU,1612749894,51,-33.8667,121.9,82.4,24.16
81,Carnarvon,40,AU,1612749894,100,-24.8667,113.6333,82.4,14.97
82,Sibu,40,MY,1612749894,94,2.3,111.8167,77.0,2.3
83,Saint-François,75,FR,1612749894,87,46.4154,3.9054,37.4,2.3
84,Katsuura,3,JP,1612749894,33,35.1333,140.3,48.99,5.99
85,Berlevåg,100,NO,1612749895,93,70.8578,29.0864,24.15,26.28
86,Lorengau,100,PG,1612749895,69,-2.0226,147.2712,85.44,5.19
87,Pinega,31,RU,1612749895,86,64.7001,43.3936,-21.82,5.26
88,San Miguel,41,SV,1612749895,77,13.4833,-88.1833,76.41,2.28
89,Vaini,90,TO,1612749896,94,-21.2,-175.2,77.0,14.97
90,San Lucas,1,MX,1612749896,69,16.6,-92.7167,75.2,9.22
91,Upernavik,50,GL,1612749896,79,72.7868,-56.1549,18.01,4.72
92,Cayenne,90,GF,1612749896,89,4.9333,-52.3333,78.8,3.44
93,Clyde River,1,CA,1612749867,92,70.4692,-68.5914,-7.6,3.44
94,Puerto Escondido,20,MX,1612749897,74,15.85,-97.0667,80.6,4.97
95,Mukhen,100,RU,1612749897,87,48.1,136.1,-3.82,9.55
96,Honiara,1,SB,1612749897,67,-9.4333,159.95,86.81,9.66
97,Taoudenni,0,ML,1612749898,34,22.6783,-3.9836,58.37,8.01
98,Verkh-Usugli,83,RU,1612749898,88,52.7,115.1667,-2.74,1.14
99,George Town,20,MY,1612749845,78,5.4112,100.3354,82.4,2.3
100,Arvika,0,SE,1612749898,92,59.6553,12.5852,12.2,6.91
101,Almeirim,81,BR,1612749898,83,-1.5233,-52.5817,77.13,5.75
102,Dongfeng,2,CN,1612749619,90,42.6403,125.5118,7.9,6.02
103,Mahébourg,40,MU,1612749899,83,-20.4081,57.7,78.8,5.75
104,Lydenburg,99,ZA,1612749899,90,-25.0978,30.4597,58.23,1.86
105,Novy Urengoy,100,RU,1612749899,94,66.0833,76.6333,2.52,10.02
106,Saint Paul Harbor,1,US,1612749900,69,57.79,-152.4072,33.8,6.17
107,San Juan del Sur,9,NI,1612749900,72,11.2529,-85.8705,79.43,19.8
108,Lagoa,0,PT,1612749900,81,39.05,-27.9833,57.58,20.38
109,Puerto Ayora,100,EC,1612749900,95,-0.7393,-90.3518,77.0,6.22
110,Chui,16,UY,1612749901,82,-33.6971,-53.4616,64.87,6.15
111,Rabo de Peixe,40,PT,1612749901,77,37.8,-25.5833,57.2,10.36
112,Yar-Sale,100,RU,1612749901,90,66.8333,70.8333,-10.7,21.25
113,College,20,US,1612749901,83,64.8569,-147.8028,-13.0,3.89
114,Talnakh,55,RU,1612749901,77,69.4865,88.3972,-16.91,3.44
115,Lüderitz,0,NA,1612750048,52,-26.6481,15.1594,67.17,26.87
116,Cururupu,6,BR,1612749741,96,-1.8283,-44.8683,74.7,2.98
117,Husavik,75,IS,1612749902,80,66.0449,-17.3389,30.2,7.34
118,Kibala,0,TD,1612749902,21,9.1104,18.3463,73.4,4.27
119,Guerrero Negro,0,MX,1612749903,66,27.9769,-114.0611,62.22,11.41
120,Nānākuli,1,US,1612749903,47,21.3906,-158.1547,78.01,6.91
121,Butaritari,27,KI,1612749903,79,3.0707,172.7902,80.98,17.18
122,Camocim,13,BR,1612749903,88,-2.9022,-40.8411,77.9,7.9
123,Coyhaique,0,CL,1612750050,48,-45.5752,-72.0662,66.2,8.05
124,Aykhal,81,RU,1612749904,84,66.0,111.5,-25.69,5.1
125,Plaster Rock,90,CA,1612749904,73,46.9065,-67.39,21.2,3.44
126,Gravdal,67,NO,1612749904,91,68.1214,13.5031,31.57,6.38
127,Yangi Marg`ilon,97,UZ,1612749904,75,40.4272,71.7189,41.0,4.61
128,Viedma,93,AR,1612749905,68,-40.8135,-62.9967,57.99,12.01
129,Deputatsky,38,RU,1612749905,84,69.3,139.9,-23.46,2.64
130,Tazovsky,100,RU,1612749905,92,67.4667,78.7,-5.01,16.71
131,Haicheng,0,CN,1612749905,82,40.8516,122.7475,18.28,8.57
132,Yulara,0,AU,1612749906,20,-25.2406,130.9889,87.8,18.41
133,Grand Gaube,35,MU,1612749906,82,-20.0064,57.6608,78.01,1.99
134,Port Lincoln,52,AU,1612749906,69,-34.7333,135.8667,65.46,15.64
135,Sironj,0,IN,1612749906,42,24.1,77.7,53.26,3.38
136,Dubai,0,AE,1612749709,77,25.2582,55.3047,66.2,4.61
137,Skibbereen,90,IE,1612749907,69,51.55,-9.2667,35.6,19.57
138,Marawi,100,PH,1612750054,90,7.9986,124.2928,79.0,2.37
139,Lompoc,1,US,1612749907,87,34.6391,-120.4579,60.01,8.05
140,Karratha,1,AU,1612749907,58,-20.7377,116.8463,83.55,10.71
141,Vestmannaeyjar,100,IS,1612749908,73,63.4427,-20.2734,39.4,26.98
142,That Phanom,75,TH,1612749908,78,16.9364,104.7104,71.6,2.3
143,Karaman Province,82,TR,1612749908,85,37.0833,33.25,42.24,13.24
144,Saint George,1,US,1612749612,14,37.1041,-113.5841,60.8,8.05
145,Russell,1,US,1612749612,87,32.3502,-85.1999,48.2,4.83
146,Helong,10,CN,1612749909,79,42.5397,128.9972,9.64,11.1
147,Tasiilaq,20,GL,1612749909,46,65.6145,-37.6368,26.6,5.75
148,Pizarro,100,CO,1612749909,89,4.9533,-77.366,78.73,1.16
149,Barrow,1,US,1612749909,75,71.2906,-156.7887,-27.4,6.91
150,Thompson,75,CA,1612749909,68,55.7435,-97.8558,-27.4,14.97
151,Ushtobe,100,KZ,1612749910,87,45.2514,77.9838,33.8,3.09
152,Vila Franca do Campo,40,PT,1612749910,77,37.7167,-25.4333,57.2,10.36
153,Banff,100,CA,1612749910,78,51.1762,-115.5698,-2.2,3.44
154,Codrington,100,AU,1612749912,67,-38.2667,141.9667,61.03,14.67
